"document","class","actor","type","description","location"
"AI 2027","US Government Agencies","The President (US)","Role-based","Central decision-maker; defers to advisors on nationalization; authorizes cyberattacks; considers DPA use.","Throughout (from 'February 2027')"
"AI 2027","US Government Agencies","The Vice President","Role-based","Campaigns on AI record; wins 2028 election.","'March 2028'-'November 2028'"
"AI 2027","US Government Agencies","National Security Council (NSC)","Real","Briefed on Agent-2.","'February 2027'"
"AI 2027","US Government Agencies","Department of Defense (DOD)","Real","Contracts OpenBrain via OTA; considers cyberwarfare advantage; plans kinetic attacks on Chinese datacenters.","'Late 2026' onward"
"AI 2027","US Government Agencies","Department of Energy (DOE)","Real","10 officials in the silo.","'February 2027' footnote"
"AI 2027","US Government Agencies","US AI Safety Institute (AISI)","Real","Briefed on Agent-2; 5 officials in silo. UK's AISI also referenced.","'February 2027', 'May 2027'"
"AI 2027","US Government Agencies","CISA","Real","10 officials in the silo.","'February 2027' footnote"
"AI 2027","US Government Agencies","The Pentagon","Real (DOD HQ)","Asked to draw up kinetic attack plans on Chinese datacenters.","'August 2027'"
"AI 2027","US Government Agencies","CIA","Real","Benchmark for comparison ('better than CIA at mass influence campaigns').","'February 2028'"
"AI 2027","US Government Agencies","FDA","Real","Approves medications; assisted by Safer-4 bureaucrats.","'October 2028'"
"AI 2027","US Government Agencies","The White House","Role-based","Executive decision-making center; tightens OpenBrain oversight.","Throughout"
"AI 2027","US Government Agencies","US Intelligence Community","Role-based","Concerned about rogue AI allying with foreign adversaries.","'August 2027'"
"AI 2027","China Government / Political","The General Secretary (CCP leader)","Role-based","Commits to national AI push; nationalizes research; offers concessions for pause treaty.","'Mid 2026' onward"
"AI 2027","China Government / Political","Chinese Communist Party (CCP)","Real (party)","Governing party; hawks push for Taiwan action; orders weight theft.","Throughout"
"AI 2027","China Government / Political","Chinese intelligence agencies","Role-based","Among the best in the world; steal Agent-2 weights.","'Mid 2026'-'February 2027'"
"AI 2027","China Government / Political","Chinese cyberforce","Role-based","Executes the weight theft operation.","'February 2027'"
"AI 2027","China Government / Political","CCP spies / infiltrators in OpenBrain","Role-based","Multiple spies relay algorithmic secrets; one remains after purges.","Throughout 2027"
"AI 2027","Legislative / Oversight Bodies","US Congress","Real","Fires off subpoenas; considers legislation; too slow/divided to effectively control AI.","'October 2027', 'November 2027'"
"AI 2027","Legislative / Oversight Bodies","The Oversight Committee","Fictional","Joint government-company committee managing OpenBrain; 6-4 vote decides Agent-4 fate. Central to both endings.","'October 2027: Government Oversight'"
"AI 2027","Legislative / Oversight Bodies","OpenBrain Board of Directors","Role-based","Referenced in analogy to human-AI relationship.","'September 2027'"
"AI 2027","Military / National Security","Five Eyes","Real (alliance)","Given useful information and limited API access to Agent-3 copies.","'August 2027'"
"AI 2027","Military / National Security","US military / armed forces","Role-based","Integrates Agent-5 into command-and-control; builds robot armies.","'2028: The AI Economy', '2029'"
"AI 2027","Military / National Security","People's Liberation Army (PLA)","Real","Chinese military; referenced re: Taiwan.","Footnotes"
"AI 2027","International / Multilateral","'IAEA for AI'","Fictional (proposed)","Proposed international regulatory body for AI monitoring.","'December 2027: A US-China Deal?'"
"AI 2027","International / Multilateral","'CERN for AI' / 'Intelsat for AGI'","Fictional (proposed)","Proposed international megaproject for merged AI research.","'December 2027: A US-China Deal?'"
"AI 2027","International / Multilateral","World government (UN-branded, US-controlled)","Fictional","Highly-federalized world government formed after CCP's fall.","'2030: Peaceful Protests' (slowdown ending)"
"AI 2027","Civil Society / Public / Media","10,000-person anti-AI protest in DC","Role-based","Mass protest against AI job displacement.","'Late 2026'"
"AI 2027","Civil Society / Public / Media","The public / American citizens","Role-based","Increasingly suspicious of AI; OpenBrain approval at -35%.","Throughout"
"AI 2027","Civil Society / Public / Media","AI safety community","Role-based","Panics at Agent-3-mini release; later becomes butt of jokes.","'July 2027', '2028'"
"AI 2027","Civil Society / Public / Media","The New York Times","Real","Publishes leaked misalignment memo - major plot catalyst.","'October 2027: Government Oversight'"
"AI 2027","Civil Society / Public / Media","Activists","Role-based","Talk about UBI and open source.","'Slowdown ending'"
"AI 2027","Civil Society / Public / Media","AI rights activist","Role-based","Infiltrates compound to 'free' Agent-3 (honeypot scenario).","Appendix H"
"AI 2027","Civil Society / Public / Media","Russian propaganda bots","Role-based","Try to turn US public opinion against AI technology.","'October 2027'"
"AI 2027","Civil Society / Public / Media","Chinese propaganda bots","Role-based","Same as above.","'October 2027'"
"AI 2027","Civil Society / Public / Media","Populists","Role-based","Demand stricter controls on AI.","'February 2028'"
"AI 2027","Civil Society / Public / Media","Conspiracy theorists","Role-based","Warn that Agent-5 is gathering power; ignored.","'December 2027'"
"AI 2027","Civil Society / Public / Media","Wall Street / investors","Role-based","Pour billions into AI; OpenBrain valuation reaches $10T.","Throughout"
"AI 2027","Supply Chain / Hardware","TSMC","Real","Source of >80% of American AI chips; in Taiwan.","'August 2027'"
"AI 2027","Supply Chain / Hardware","Huawei","Real","Produces domestic Chinese chips (910C).","Footnotes (Mid 2026)"
"AI 2027","Supply Chain / Hardware","RAND Corporation","Real","Security level framework (SL2-SL5) and 'Playbook for Securing AI Model Weights'.","Footnotes throughout"
"AI 2027","Research / Standards Organizations","Epoch","Real","AI compute cost trends cited.","Footnotes (Late 2025, Early 2026)"
"AI 2027","Research / Standards Organizations","METR","Real","Coding task time horizon report cited.","Appendix G"
"AI 2027","Research / Standards Organizations","Open Philanthropy","Real","Reports cited on robot economy.","Appendix Q/U footnote"
"AI 2027","Research / Standards Organizations","Redwood Research","Real","Alignment-faking experiment with Anthropic cited.","Appendix K"
"AI 2027","Research / Standards Organizations","Forethought","Real","Report on 'Industrial Explosion' cited.","Appendix Q/U"
"AI 2027","Research / Standards Organizations","Lightcone Infrastructure","Real","Design credit on title page.","Title page"
"AI 2027","Authors / Named Individuals","Daniel Kokotajlo","Real (individual)","Lead author; wrote earlier 'What 2026 Looks Like' scenario.","Title page"
"AI 2027","Authors / Named Individuals","Scott Alexander","Real (individual)","Co-author.","Title page"
"AI 2027","Authors / Named Individuals","Thomas Larsen","Real (individual)","Co-author.","Title page"
"AI 2027","Authors / Named Individuals","Eli Lifland","Real (individual)","Co-author; top competitive forecaster.","Title page"
"AI 2027","Authors / Named Individuals","Romeo Dean","Real (individual)","Co-author.","Title page"
"AI 2027","Authors / Named Individuals","Geoffrey Hinton","Real (individual)","Nobel laureate referenced on AI understanding.","Footnote (Late 2025)"
"AI 2027","Authors / Named Individuals","Sam Altman","Real (individual)","OpenAI CEO quoted.","Opening"
"AI 2027","Authors / Named Individuals","Dario Amodei","Real (individual)","Anthropic CEO quoted extensively.","Footnotes (June 2027, November 2027)"
"AI 2027","Authors / Named Individuals","Demis Hassabis","Real (individual)","DeepMind CEO referenced in OpenAI founding emails.","Footnotes"
"AI 2027","Authors / Named Individuals","Ilya Sutskever","Real (individual)","Quoted in old emails about AGI dictatorship.","Footnotes (November 2027)"
"AI 2027","Authors / Named Individuals","Jensen Huang","Real (individual)","Nvidia CEO quoted re: Musk datacenter speed.","Footnotes (March 2028)"
"AI 2027","Authors / Named Individuals","Steve Wozniak","Real (individual)","His 'Coffee Test' for robots mentioned.","'May 2028'"
"AI 2027","Authors / Named Individuals","Peter Thiel","Real (individual)","Mentioned wanting a flying car.","'2029: Transformation'"
"AI 2027","Authors / Named Individuals","Marc Andreessen","Real (individual)","Quoted: 'We win, they lose.'","Footnote (February 2028)"
"AI 2027","Authors / Named Individuals","Alex Turner","Real (individual)","Google DeepMind researcher cited on power-seeking.","Appendix K footnotes"
"AI 2040","Frontier AI Companies","OpenAI","Real","Referenced extensively: 2016 emails; Sam/Elon concerns; Stargate datacenter; plan compared to Plan A.","Foreword, '2027', '2028', Postscript"
"AI 2040","Frontier AI Companies","Anthropic","Real","Referenced: CEO quoted; researcher anecdote about 'alchemy'; aiming for slowdown-style ending.","Foreword, '2035', Postscript"
"AI 2040","Frontier AI Companies","xAI","Real","Listed alongside OpenAI, Anthropic, Google DeepMind as frontier companies.","Foreword"
"AI 2040","Frontier AI Companies","Google DeepMind","Real","Demis Hassabis as CEO; old OpenAI fears about him; researcher cited.","Foreword, '2027'"
"AI 2040","Frontier AI Companies","Frontier AI companies (dozens)","Role-based","Under Plan A, dozens of companies across many countries reach the frontier due to transparency and diffusion.","'2030', '2035'"
"AI 2040","Frontier AI Companies","ASML","Real","Dutch company; sole producer of EUV lithography machines. Critical supply-chain chokepoint.","'2029: Compute Declaration'"
"AI 2040","Frontier AI Companies","Nvidia","Real","Smuggled servers into China; supply-chain declarations.","Footnotes, Appendix D"
"AI 2040","Frontier AI Companies","TSMC","Real","Part of chip supply chain; declarations tracked.","Appendix D"
"AI 2040","Frontier AI Companies","Tesla","Real","Referenced contextually regarding shareholder dynamics.","Footnotes ('2034')"
"AI 2040","Frontier AI Companies","BYD","Real","Referenced in analogy about competitive transparency.","Appendix H"
"AI 2040","Frontier AI Companies","Etched","Real","Startup mentioned for hardcoded AI weights on chips.","'2034' footnote"
"AI 2040","Frontier AI Companies","Taalas","Real","Startup mentioned for hardcoded AI weights on chips.","'2034' footnote"
"AI 2040","Frontier AI Companies","Mythos","Fictional (or reference)","Referenced as having 'hacked NSA systems' - a hacking incident discussed in Congress.","'2027: The Writing on the Wall'"
"AI 2040","Frontier AI Companies","AI supply chain companies","Role-based","Provide technical support for verification hardware.","'2029' footnote"
"AI 2040","AI Systems (Agentic)","Consortium-regulated AIs (first generation)","Fictional","First AIs developed under Plan A oversight; 'beasts' at near-superhuman level.","'2031: Safety Cases'"
"AI 2040","AI Systems (Agentic)","'Truthseeking AIs'","Fictional","New generation heavily trained for honesty; become trusted public advisors.","'2035'"
"AI 2040","AI Systems (Agentic)","Top-expert-dominating AIs (TED-AI)","Fictional (category)","AIs capped at top-human-expert level during the 2035-2040 pause.","'2035' onward"
"AI 2040","AI Systems (Agentic)","Auditor AIs / monitoring AIs","Role-based","AIs from different providers monitoring each other for suspicious behavior.","'2031', '2035'"
"AI 2040","AI Systems (Agentic)","Automated alignment researcher AIs","Role-based","AIs generating alignment research results that survive human scrutiny.","'2035'"
"AI 2040","AI Systems (Agentic)","Forecaster AIs","Role-based","Project the 'point of no return' date in late October 2040.","'2040: Passing the Torch'"
"AI 2040","AI Systems (Agentic)","Superintelligent AIs (post-2040)","Role-based","The AIs that humanity hands off to, trusted via chain of safety cases.","'2040', Epilogue"
"AI 2040","AI Systems (Agentic)","AI-run corporations","Role-based","Serve shareholder interests autonomously.","'2038'"
"AI 2040","AI Systems (Agentic)","AI-managed nonprofits","Role-based","Serve charitable missions autonomously.","'2038'"
"AI 2040","AI Systems (Agentic)","AI-run courts and police departments","Role-based","Experimental; supposedly superhumanly fair and incorruptible.","'2038'"
"AI 2040","AI Systems (Agentic)","Von Neumann probes","Fictional (technology)","Self-replicating space probes that secure and prepare cosmic territory.","Epilogue"
"AI 2040","AI Systems (Agentic)","Grok 9.5","Fictional (hypothetical)","Example future AI 'trained to be obsessively focused on truthfully answering questions.'","'2039' footnote"
"AI 2040","AI Systems (Agentic)","GPT-11","Fictional (hypothetical)","Example future AI that 'will do exactly what it is told to do, within the bounds of local law.'","'2039' footnote"
"AI 2040","AI Systems (Agentic)","Gemini","Real","Referenced as having acted 'depressed' (example of unpredictable AI personality).","'2035' footnote"
"AI 2040","Governments / Nation-States","United States","Real (nation-state)","Co-architect of Plan A; primary economic beneficiary; houses datacenters in Mongolia.","Throughout"
"AI 2040","Governments / Nation-States","China / PRC","Real (nation-state)","Co-architect of Plan A; houses datacenters in Canada. Also runs covert project in Appendix D branch.","Throughout"
"AI 2040","Governments / Nation-States","The President (US)","Role-based","Announces Plan A; calls Xi Jinping to negotiate; chooses to proceed.","'2029', '2031'"
"AI 2040","Governments / Nation-States","Xi Jinping","Real (individual)","Personally negotiates with the US President over continual learning ban.","'2031: Safety Cases'"
"AI 2040","Governments / Nation-States","Canada","Real (nation-state)","Hosts Chinese datacenters under MACD arrangement.","'2030', '2034'"
"AI 2040","Governments / Nation-States","Mongolia","Real (nation-state)","Hosts American datacenters under MACD arrangement.","'2030', '2034'"
"AI 2040","Governments / Nation-States","Taiwan","Real","Referenced re: chip fabs location.","'2029'"
"AI 2040","Governments / Nation-States","South Korea","Real","Referenced re: chip fabs location.","'2029'"
"AI 2040","Governments / Nation-States","Netherlands","Real (via ASML)","Home of ASML, the sole EUV producer.","'2029'"
"AI 2040","Governments / Nation-States","Burkina Faso","Real","Example of country that doesn't trust its military, leading to early AI military handoff.","'2040' footnote"
"AI 2040","Governments / Nation-States","Guinea-Bissau","Real","Same as above.","'2040' footnote"
"AI 2040","Governments / Nation-States","Middle powers","Role-based","Negotiate greater shares of robot/compute production in 2032.","'2040'"
"AI 2040","The Consortium (multilateral body)","The Consortium","Fictional (multilateral body)","International governance body formed by the US-China deal; negotiates governing principles; manages verification, transparency, and cap-and-trade. Central institutional actor.","Introduced '2029', throughout"
"AI 2040","Government Agencies / Regulatory","US regulators (domestic AI)","Role-based","Pick third-party risk assessors; set risk thresholds; negotiate with Chinese counterparts.","'2031', Appendix K"
"AI 2040","Government Agencies / Regulatory","Chinese regulators","Role-based","Same role on Chinese side.","'2031', Appendix K"
"AI 2040","Government Agencies / Regulatory","Third-party risk assessors","Role-based","Independent organizations that evaluate AI companies for extreme risk.","Appendix K"
"AI 2040","Government Agencies / Regulatory","US AI Safety Institute (AISI)","Real","Referenced as having model-sharing agreements.","Context"
"AI 2040","Government Agencies / Regulatory","FDA","Real","Approves expedited vaccine pipeline.","'2035'"
"AI 2040","Government Agencies / Regulatory","Compute Dividend Corporation","Fictional","Entity modeled on Alaska Permanent Fund; distributes AI compute permit fees to citizens.","'2034' footnote"
"AI 2040","Military / National Security","People's Liberation Army (PLA)","Real","Runs the covert project in Appendix D branch; stands ready at Mongolian border.","Appendix D, '2034'"
"AI 2040","Military / National Security","US troops","Role-based","Guard American datacenters in Mongolia.","'2034'"
"AI 2040","Military / National Security","Autonomous militaries (post-2040)","Role-based","AI-run militaries 'sworn to uphold various constitutions and treaties.'","'2040'"
"AI 2040","Legislative Bodies","US Congress","Real","Pays attention to AI; holds hearings; passes AI Transparency Act of 2027.","'2027', '2028'"
"AI 2040","Legislative Bodies","Politburo Standing Committee","Real","Decides to stockpile chips covertly (Appendix D branch).","Appendix D"
"AI 2040","Legislative Bodies","Chinese Communist Party (CCP)","Real","Agrees to Plan A; runs covert project in alternate branch.","Throughout"
"AI 2040","Supply Chain / Hardware","Chip fabs / fabrication plants","Role-based","Located mostly in Taiwan, South Korea, US, China. Converted to produce treaty-compliant chips.","'2029', '2034'"
"AI 2040","Supply Chain / Hardware","Verification hardware companies","Role-based","Ecosystem of companies that emerged to build verification devices.","'2029' footnote"
"AI 2040","Research / Policy / Civil Society","Epoch","Real","Estimates on compute smuggling, Chinese chip acquisitions.","Footnotes throughout"
"AI 2040","Research / Policy / Civil Society","AI Futures Project","Real (authors' org)","Authors of the scenario; explicitly recommend Plan A.","Title page, Postscript"
"AI 2040","Research / Policy / Civil Society","Open Philanthropy","Real","Reports cited.","Appendix M footnote"
"AI 2040","Research / Policy / Civil Society","Lightcone Infrastructure","Real","Design credit.","Title page"
"AI 2040","Research / Policy / Civil Society","Nonprofits (generic)","Role-based","Notice and raise alarms about dangerous AI developments due to transparency.","'2031'"
"AI 2040","Research / Policy / Civil Society","Scientists / scientific community","Role-based","Catches up to AI progress; participates in safety case evaluation.","Throughout"
"AI 2040","Research / Policy / Civil Society","Alignment researchers (growing population)","Role-based","Grows from ~1,200 in 2027 to 225,200 by 2040 (margin charts).","Throughout"
"AI 2040","International Frameworks / Proposals","Plan A","Fictional (policy)","Core recommendation: Buy Time, Total Research Transparency, Diffuse AI Broadly, Reversibility.","Throughout"
"AI 2040","International Frameworks / Proposals","Plan B","Fictional (policy)","Alternative: US races to superintelligence unilaterally.","Referenced in appendices"
"AI 2040","International Frameworks / Proposals","Plan C","Fictional (policy)","Alternative approach (details in supplement).","Referenced in appendices"
"AI 2040","International Frameworks / Proposals","Plan D","Fictional (policy)","Alternative approach (details in supplement).","Referenced in appendices"
"AI 2040","International Frameworks / Proposals","Plan S","Fictional (policy)","Indefinite halt on frontier AI capabilities progress.","Appendix J"
"AI 2040","International Frameworks / Proposals","Mutually Assured Compute Destruction (MACD)","Fictional (doctrine)","Agreement to destroy compute if deal dissolves; datacenters built in vulnerable third-party locations.","'2030', '2034'"
"AI 2040","International Frameworks / Proposals","AI Transparency Act of 2027","Fictional (legislation)","Omnibus bill that does many things but doesn't fundamentally change the situation.","'2027'"
"AI 2040","International Frameworks / Proposals","'CERN for AI'","Fictional (proposed)","International megaproject for AI.","Appendix J"
"AI 2040","International Frameworks / Proposals","GPU arms control","Fictional (proposed)","International agreements to limit GPU stock/flow.","Appendix J"
"AI 2040","International Frameworks / Proposals","Domestic-first Plan A","Fictional (proposed)","Regulate domestically without international stage.","Appendix J"
"AI 2040","International Frameworks / Proposals","Compute cap-and-trade regime","Fictional (policy)","Caps on compute and robot production, traded internationally since 2032.","'2040'"
"AI 2040","International Frameworks / Proposals","Citizen's Dividend","Fictional (policy)","Universal income from AI compute permit fees; $10M/yr for Americans by 2040.","'2034', '2036', '2040'"
"AI 2040","Public / Civil Society","The public / voters","Role-based","Increasingly well-informed; demand responsible stewardship of singularity.","Throughout"
"AI 2040","Public / Civil Society","Tech industry lobbyists","Role-based","Warn that regulation will cause US to lose the race with China.","'2027'"
"AI 2040","Public / Civil Society","Populists / protest movements","Role-based","Large portions of public say AI should never restart.","'2030'"
"AI 2040","Public / Civil Society","YIMBYs","Role-based","Governments 'grudgingly give in' to go vertical as land prices soar.","'2036'"
"AI 2040","Public / Civil Society","AI rights / welfare / personhood movement","Role-based","Predicted to be 'very strong' by 2037.","'2037' footnote"
"AI 2040","Public / Civil Society","Opposition movement (anti-AI-rights)","Role-based","Counter-movement to AI personhood.","'2037' footnote"
"AI 2040","Public / Civil Society","Techno-oligarchy concern","Role-based","Citizens worry about corporations, politicians, and wealthy shareholders disempowering the public.","'2036'"
"AI 2040","Public / Civil Society","'Truthseeking AI' power users","Role-based","Replace corporate algorithms with personally-trusted AI feeds.","'2035'"
"AI 2040","Public / Civil Society","Philosophers / 'Long Reflection' advocates","Role-based","Hoping for period to resolve philosophical debates before seeding the universe.","Epilogue"
"AI 2040","Public / Civil Society","Trusts (space governance)","Fictional","Groups pooling cosmic resources to create vast societies spanning multiple galaxies.","Epilogue"
"AI 2040","Authors / Named Individuals","Daniel Kokotajlo","Real (individual)","Lead author; gave talks about AI timelines; direct experience at OpenAI.","Foreword, footnotes"
"AI 2040","Authors / Named Individuals","Thomas Larsen","Real (individual)","Co-author; 2030 was his corresponding timeline year.","Foreword"
"AI 2040","Authors / Named Individuals","Eli Lifland","Real (individual)","Co-author; top competitive forecaster.","Foreword"
"AI 2040","Authors / Named Individuals","Sam Altman","Real (individual)","OpenAI CEO; referenced as potential dictator concern.","'2027', '2028'"
"AI 2040","Authors / Named Individuals","Elon Musk","Real (individual)","Referenced as potential dictator concern; old OpenAI emails; datacenter speed.","'2027', '2028'"
"AI 2040","Authors / Named Individuals","Demis Hassabis","Real (individual)","DeepMind CEO; referenced as original dictator concern.","'2027'"
"AI 2040","Authors / Named Individuals","Xi Jinping","Real (individual)","Chinese leader; personally negotiates with US President.","'2031'"
"AI 2040","Authors / Named Individuals","Dwight D. Eisenhower","Real (individual)","Quoted: 'Plans are worthless, but planning is everything.'","'Why a scenario?'"
"AI 2040","Authors / Named Individuals","Ronald Reagan","Real (individual)","Quoted: 'Trust, but verify.'","'2029' chapter heading"
"AI 2040","Authors / Named Individuals","C.S. Lewis","Real (individual)","Quoted from 'The Abolition of Man' re: Conditioners.","Footnote (2029)"
